month,n_trades,win_rate,avg_R,total_R,profitable
2018-08,7,0.714,0.164,1.151,True
2018-09,4,1.0,1.38,5.52,True
2018-10,2,1.0,1.018,2.035,True
2018-11,5,0.6,0.386,1.931,True
2018-12,9,0.667,0.759,6.83,True
2019-01,5,0.6,0.302,1.508,True
2019-02,6,0.5,-0.073,-0.44,False
2019-03,5,0.0,-0.905,-4.527,False
2019-04,4,0.75,0.827,3.306,True
2019-05,5,0.4,-0.249,-1.245,False
2019-06,1,0.0,-1.048,-1.048,False
2019-07,9,0.556,0.306,2.752,True
2019-08,4,0.75,0.471,1.884,True
2019-09,7,0.714,0.544,3.806,True
2019-10,8,0.625,0.121,0.967,True
2019-11,2,0.5,0.148,0.295,True
2019-12,10,0.7,0.422,4.223,True
2020-01,6,0.667,0.622,3.732,True
2020-02,5,0.6,0.437,2.183,True
2020-03,6,0.833,1.119,6.712,True
2020-04,10,0.5,0.207,2.07,True
2020-05,9,0.667,0.514,4.629,True
2020-06,8,0.625,0.297,2.374,True
2020-07,4,1.0,1.26,5.039,True
2020-08,10,0.6,0.481,4.806,True
2020-09,9,0.444,0.017,0.157,True
2020-10,13,0.538,0.163,2.121,True
2020-11,3,0.667,0.37,1.11,True
2020-12,8,0.75,0.762,6.092,True
2021-01,2,0.0,-1.063,-2.125,False
2021-05,8,0.875,0.991,7.925,True
2021-06,3,1.0,1.336,4.008,True
2021-07,2,1.0,0.499,0.997,True
2021-08,2,1.0,1.757,3.513,True
2021-09,2,0.5,0.785,1.57,True
2021-10,6,0.667,0.376,2.256,True
2021-11,6,1.0,0.819,4.916,True
2021-12,4,0.75,0.312,1.248,True
2022-01,10,0.7,0.596,5.958,True
2022-02,6,0.667,0.81,4.862,True
2022-03,4,0.75,0.754,3.017,True
2022-04,7,0.714,0.6,4.198,True
2022-05,6,0.667,0.201,1.207,True
2022-06,1,1.0,1.112,1.112,True
2022-12,5,0.6,0.744,3.719,True
2023-01,9,0.556,0.221,1.991,True
2023-02,2,0.0,-1.056,-2.112,False
2023-03,9,0.556,0.225,2.023,True
2023-04,6,0.333,0.179,1.075,True
2023-05,9,0.556,0.12,1.082,True
2023-06,7,0.571,0.135,0.943,True
2023-07,9,0.333,-0.32,-2.881,False
2023-09,1,1.0,1.279,1.279,True
2023-10,3,0.333,-0.233,-0.7,False
2023-11,4,0.5,0.287,1.146,True
2023-12,5,0.4,0.338,1.688,True
2024-01,7,0.143,-0.557,-3.897,False
2024-02,5,0.6,0.294,1.472,True
2024-03,4,0.5,0.159,0.637,True
2024-04,8,0.375,-0.066,-0.526,False
2024-05,11,0.455,0.226,2.49,True
2024-06,7,0.571,0.527,3.691,True
2024-07,8,0.5,0.33,2.639,True
2024-08,7,0.571,0.253,1.772,True
2024-09,10,0.6,0.022,0.221,True
2024-10,9,0.667,0.448,4.033,True
2024-11,8,0.375,-0.361,-2.889,False
2024-12,9,0.444,-0.029,-0.261,False
2025-01,9,0.556,0.483,4.35,True
2025-02,8,0.75,0.561,4.49,True
2025-03,13,0.615,0.18,2.342,True
2025-04,5,0.6,0.285,1.426,True
2025-05,6,0.833,1.15,6.902,True
2025-06,7,0.429,-0.028,-0.195,False
2025-07,5,0.6,0.542,2.708,True
2025-08,8,0.75,0.582,4.653,True
2025-09,16,0.813,0.947,15.153,True
2025-10,6,1.0,1.206,7.238,True
2025-11,7,0.714,0.922,6.451,True
2025-12,11,0.545,0.068,0.752,True
2026-01,5,0.6,0.217,1.086,True
2026-02,9,0.444,-0.143,-1.284,False
2026-03,9,0.333,-0.169,-1.517,False
2026-04,12,0.583,0.301,3.612,True
2026-05,9,0.444,0.299,2.692,True
